Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
62862,25.2272,86.2723,27,85,36,86,false,43497
59311,27.2853,86.2713,36,84,38,83,false,43497
60472,25.7818,86.9680,29,88,37,84,false,43497
58220,26.6206,86.0511,25,87,33,84,false,43497
56779,28.0971,86.1181,28,87,35,84,false,43497
60976,25.0430,83.5756,19,83,34,80,false,43497
58580,27.3704,86.9660,33,85,31,85,false,43497
64328,24.5165,83.9109,25,83,35,82,false,43497
60256,24.3343,85.3083,23,86,40,86,false,43497
60979,24.2883,84.3784,24,83,38,83,false,43497
59134,28.0390,86.2022,34,87,39,88,false,43497
57758,27.8448,87.6306,36,88,41,90,false,43497
56753,28.5656,87.1231,29,85,43,85,false,43497
59017,26.4875,87.6587,25,85,30,82,false,43497
61204,23.3794,83.0881,20,82,29,80,false,43497
56453,26.8338,85.0050,31,86,39,83,false,43497
58868,26.4755,86.8999,23,82,35,83,false,43497
57528,28.4184,87.0591,23,85,42,84,false,43497
64641,26.0671,87.8308,32,84,34,83,false,43497
63597,26.5355,85.2933,27,82,31,81,false,43497
58142,29.0230,86.4044,33,85,42,83,false,43497
59670,28.9970,84.3594,29,88,39,84,false,43497
64558,24.9890,87.5876,19,84,27,83,false,43497
57956,26.2533,87.1121,25,86,40,87,false,43497
59307,28.9750,86.3714,32,88,40,87,false,43497
66086,23.0531,83.5936,24,80,29,78,false,43497
60538,24.6567,84.3654,28,85,33,82,false,43497
58186,25.1792,84.5115,24,79,30,83,false,43497
60022,25.9279,83.0440,28,84,35,81,false,43497
55650,28.3994,87.0420,28,89,39,89,false,43497
61558,21.5145,86.0230,24,87,31,86,false,43497
59970,25.6296,85.5816,33,84,31,83,false,43497
65866,25.1972,85.0310,30,83,32,79,false,43497
58427,24.1502,85.6436,31,87,37,85,false,43497
61740,27.2332,86.4915,26,83,25,80,false,43497
59098,26.9069,87.7497,28,89,41,89,false,43497
60514,26.4144,83.7898,28,81,37,82,false,43497
62866,28.7848,86.8559,34,85,34,81,false,43497
63151,28.1692,86.3734,20,84,36,81,false,43497
61787,25.9800,86.7648,27,85,39,85,false,43497
64080,28.0310,87.9169,29,88,40,88,false,43497
58680,26.4174,85.3664,33,84,35,85,false,43497
62668,27.2012,87.1742,34,87,40,84,false,43497
61773,26.5395,85.3764,30,87,35,83,false,43497
65432,26.2012,88.5145,23,85,35,86,false,43497
63316,27.7207,86.2553,39,88,37,87,false,43497
59878,25.1712,82.9580,35,85,39,82,false,43497
60082,26.5816,85.3624,24,82,31,80,false,43497
65304,27.6446,86.9039,34,83,40,83,false,43497
61713,22.7247,84.5586,23,85,42,89,false,43497
60662,24.5916,86.2392,25,87,34,84,false,43497
62187,25.3363,86.3634,25,86,34,86,false,43497
59837,26.9439,86.5005,22,85,40,82,false,43497
59057,25.3333,85.9259,26,81,37,83,false,43497
57122,28.8438,86.1031,36,90,41,88,false,43497
59184,25.8909,85.2452,24,82,38,83,false,43497
56274,29.7427,86.5826,28,84,45,87,false,43497
62219,26.8098,85.8268,23,82,34,81,false,43497
56617,27.8168,85.8058,26,83,45,83,false,43497
58905,26.1682,86.3714,29,83,34,82,false,43497
58763,25.8959,86.9550,19,84,32,82,false,43497
62240,24.3013,87.0400,26,83,37,84,false,43497
60040,26.8068,86.5245,35,85,36,84,false,43497
60766,24.9429,83.5766,35,85,31,82,false,43497
58988,26.0080,87.8629,31,88,35,85,false,43497
60401,27.0501,87.7357,29,84,39,86,false,43497
59918,25.1221,87.2402,24,87,29,83,false,43497
61461,25.2382,84.2773,29,82,37,79,false,43497
61562,27.4535,88.1502,24,85,33,85,false,43497
59930,25.8879,84.8849,22,82,32,80,false,43497
65355,23.9870,87.1471,29,90,31,86,false,43497
60930,26.9009,86.9029,32,91,32,84,false,43497
61555,23.2062,83.7708,25,83,26,78,false,43497
57877,29.3243,88.7558,37,89,41,88,false,43497
62451,24.7568,87.0300,29,88,34,87,false,43497
64732,26.0891,86.6256,26,89,43,90,false,43497
58871,28.1451,86.5696,28,85,40,86,false,43497
56721,27.3293,86.8849,33,88,33,84,false,43497
61177,27.3143,85.8338,32,83,39,84,false,43497
64543,24.9389,86.9850,27,87,34,84,false,43497
57791,26.7287,87.8889,30,88,42,86,false,43497
